Company Name,Rating,No_of_Reviews,No_of_Followers,Tags,Type,Year Founded,Company Size,HQ Location,Website,Company Type,company size category
Metro Tyres,3.8,(124 reviews),0,"Auto Components, Automobile, Public, Corporate, B2B",Public,1968 (56 yrs old),1001-5000,,http://www.metrotyres.com,Corporate,Medium
INAMDAR MULTISPECIALITY HOSPITAL ,4.2,(68 reviews),0,"Medical Services / Hospital, Private, Corporate, B2C",Private,2010 (14 yrs old),,"Pune, Maharashtra",https://inamdarhospital.com/,Corporate,
Alembic Pharmaceuticals,4.0,(2.7K reviews),70.3K followers ,"Pharmaceutical & Life Sciences, Real Estate, Engineering & Construction, Biotechnology, Public, Corporate, B2B",Public,1907 (117 yrs old),5001-10000,"Vadodara, Gujarat",http://www.alembicpharmaceuticals.com,Corporate,Medium
Lavya Associates HR Services,3.8,(85 reviews),1.6K followers ,"Recruitment / Staffing, Private, Corporate, B2B",Private,2012 (12 yrs old),51-200,,http://www.lavyaassociates.com,Corporate,Small
HOLOSTIK,3.9,(122 reviews),0,"Packaging & Containers, Public, Corporate, B2B",Public,1991 (33 yrs old),501-1000,,https://holostik.com/,Corporate,Medium
Metriqe Solutions,4.3,(462 reviews),0,"BPO / Call Centre, Private, Corporate, B2B",Private,2007 (17 yrs old),201-500,,https://www.metriqe.com/,Corporate,Medium
Alian Software,,,0,"IT Services & Consulting, Hardware & Networking, Software Product, Private, Corporate, B2B",Private,2010 (14 yrs old),51-200,,http://www.aliansoftware.com,Corporate,Small
Bellsonica Auto Component,3.9,(225 reviews),0,"Auto Components, Automobile, Private, Corporate, B2B",Private,1956 (68 yrs old),201-500,,https://www.bellsonica.co.jp/,Corporate,Medium
ULTS,,,0,"IT Services & Consulting, Hardware & Networking, Software Product, Private, Corporate, B2B",Private,2011 (13 yrs old),501-1000,,http://www.ults.in,Corporate,Medium
MatchPoint Solutions,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,2006 (18 yrs old),1001-5000,,http://matchps.com/,Corporate,Medium
HIL Limited,4.2,(551 reviews),0,"Building Material, Public, Corporate, B2B",Public,1946 (78 yrs old),1001-5000,"Hyderabad, Telangana",https://hil.in/,Corporate,Medium
Goodwill Wealth Management,3.6,(66 reviews),0,"Investment Banking / Venture Capital / Private Equity, Corporate, B2C, B2B",Private,2008 (16 yrs old),51-200,,,Corporate,Small
Nissi Infotech,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,1997 (27 yrs old),Nov-50,,http://www.nissiinfotech.com,Corporate,Small
Busigence Technologies,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,2012 (12 yrs old),Nov-50,,http://www.busigence.com,Corporate,Small
eSols WorldWide,,,0,"IT Services & Consulting, Corporate, B2B",,,,,,Corporate,
Citrus Informatics,4.6,(52 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2010 (14 yrs old),51-200,,http://www.citrusinformatics.com,Corporate,Small
SUNWODA ELECTRONIC INDIA,4.2,(326 reviews),0,"Electronics Manufacturing, Private, Corporate, B2B",Private,1997 (27 yrs old),1001-5000,,http://www.sunwoda.com/en/index.aspx,Corporate,Medium
Ashiana Housing,4.0,(290 reviews),163 followers ,"Real Estate, Engineering & Construction, Public, Corporate, B2C, B2B",Public,1979 (45 yrs old),501-1000,,http://www.ashianahousing.com,Corporate,Medium
MICRO TURNERS Group,3.9,(519 reviews),0,"Auto Components, Urban Transport, Private, Corporate, B2B",Private,1969 (55 yrs old),5001-10000,,http://microturners.co.in,Corporate,Medium
Teleysia Networks,3.7,(307 reviews),0,"Telecom / ISP, Private, Corporate, B2C",Private,2008 (16 yrs old),501-1000,,https://teleysia.com/,Corporate,Medium
Dynacons Systems & Solutions,3.9,(282 reviews),0,"IT Services & Consulting, Design, Private, Corporate, B2C",Private,1995 (29 yrs old),1001-5000,,http://dynacons.com/,Corporate,Medium
Honeybee Tech Solutions,,,293 followers ,"IT Services & Consulting, Private, Corporate, B2B",Private,2009 (15 yrs old),51-200,"Mumbai, Maharashtra",https://www.honeybeetechsolutions.com/index.html,Corporate,Small
ProClass,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,2004 (20 yrs old),Nov-50,,http://www.proclassindia.com/,Corporate,Small
Eclat Health Solutions,4.3,(145 reviews),171 followers ,"Financial Services, Corporate, B2B",,2008 (16 yrs old),201-500,,http://www.eclathealth.com,Corporate,Medium
